 	27
.jpg	32
bologna	25
the internet	36
rd=nykslurfmd	39
000032E1C944B7D8	28
00004405746A2FE9	21
00009F478DBF578C	29
0001202CEE0B15EA	29
0001A627202CBBB9	30
0001DB71C0414627	27
0001EE74CA20FAF8	28
0002765F23ADABC0	34
0002BC84A0FA33A2	26
000393C8CE6B5126	33
000431D4187728AD	39
0004D2035AEEF343	31
0004D7A3B1E237FE	29
0004D9DE20BA68E9	30
00059F2B48C06527	33
00067100D04C5C35	41
000692F2B5978910	37
0006DEC7E70F58FE	28
0006E1F6E2109E5E	31
0007454400ECAA96	29
0007C834EA932838	26
0007D84F2654C0CB	23
0007D9CB7E174158	37
0008AF6B02FEF806	27
0008B05A800152DF	29
00090BFC36E7E3E4	28
00097A49F88453B6	31
00097FDD151F658E	37
0009804105CCAC4A	25
00098BC179EE4B72	29
000A1D5D25E24510	24
000A304D9250414C	27
000A97A03EB59079	29
000AA7A3399796F1	27
000ACB802E618DD6	34
000ADA2A89C6ACC2	30
000AF42B780304DC	30
000B069C9B28F564	34
000BE40102CCA51D	33
000CA7FB67B7CDF3	28
000CD05510DB5E89	28
000D208A20F8028F	29
000D4D5ADA0B62D3	29
000D61BFF40FA90B	32
000D86881A9DD8DB	31
000E15EC3C4C9F44	35
000E50524251CADE	27
000E6FC91B18F583	30
000F18DA70759872	33
000F51DA5C0874DF	29
000FF6DC8A423795	36
000FFF8654E9C4D3	34
00100E05E2F213B4	23
0010806C24522B7E	31
0010AF739C157D2C	29
0010CF91467F4370	22
0010D73EDA732C51	23
0011F08301D02425	25
001200D5A0C36B24	22
0012BD8B1E148E35	24
0013646A0DFA1ECF	25
00139A8FADDBD1C1	28
0013A03101F8F402	23
0013D797703835CA	25
0013E2E73275E68E	38
0013FA26EB100E25	29
0013FC2A128700C6	29
00143039B1ED6831	31
00146C66F12B6406	33
0014AC1BA0D8FA26	22
001507416C48F9B8	34
001526FEFFA6C1DC	26
00155DA3C631AAAF	29
00158306803D6EE0	39
00161D027EFDAE61	27
001625C70B3D07DF	30
0016D4B51A33C50F	34
0016E618755A4288	39
00179D8E8F322DA6	22
0017B34895A33446	23
0018CDBE3E6FEEF2	32
001903028C987B44	29
00192D4D4A3F2E37	27
001933215ED85FA6	21
00196997612A8D05	31
00197E92DF562E90	31
001AA444225096A1	24
001AF7F397C13B58	22
001B02A09A3F013E	40
001B87441A246469	28
001C356E48CB7EE9	22
001C5EC794FF4B0D	34
001C8D4677CD8478	29
001D0320B0FBC6D7	31
001D17CCE3AE055E	30
001D7CC1DC73BC6D	27
001E1AFE46590677	25
001E3C8E031390CE	28
001E492759663810	27
001E7C1A1855EE34	32
001F3E759E713BF3	17
001F565775D50571	27
001F8C3FE623C743	33
001FFC43061C72EC	27
0020119EE8940F14	29
00201CAE5BF059DE	31
00211C0D7F5451C1	33
0021B74B645C209E	30
00220ED6C3522BDB	27
00221234C4BD1A36	24
0022E5959F940B78	32
0022F218E4E020D3	29
0023451DE8E8BC5C	29
00237057838F9F95	31
0023A23C201ECB73	32
002422C46318DD81	32
00243BBF7A641A22	32
0024667BFD4E08BD	25
00249853A48753CE	21
0024AF7A4E59E70A	29
0024F40CB5360A33	26
002543F15751B48D	31
002557BF1C1F93F9	23
00257BD1157D37D8	24
00258D8A75A312AB	17
0025CD0540D9EC39	33
0026599052C49E46	34
0026D3470C7E2110	21
002704142E94D585	38
00274E294E2CD406	25
0027B0C986F404F4	22
002840AE0AAF5FA4	34
0028C1BB9338EE93	35
00291241D6480A2C	21
00293318AF21FE55	38
00295576EBEC18AA	27
00298EDAF323BF9F	29
0029E0EB9E34B15B	31
